id,agent,start,end,direction,status,activity,comment
,dnedoliz,2025-10-31T22:00:00,2025-11-01T07:00:00,calls,work,,
,msemchuk,2025-10-04T23:00:00,2025-10-05T00:00:00,calls,work,,
,msemchuk,2025-10-06T15:00:00,2025-10-07T00:00:00,calls,work,,
,msemchuk,2025-10-07T14:00:00,2025-10-07T23:00:00,calls,work,,
,msemchuk,2025-10-09T22:00:00,2025-10-10T07:00:00,calls,work,,
,msemchuk,2025-10-17T16:00:00,2025-10-18T01:00:00,calls,work,,
,msemchuk,2025-10-22T14:00:00,2025-10-22T23:00:00,calls,work,,
,msemchuk,2025-10-23T16:00:00,2025-10-24T01:00:00,calls,work,,
,msemchuk,2025-10-24T14:00:00,2025-10-24T23:00:00,calls,work,,
,msemchuk,2025-10-25T15:00:00,2025-10-26T00:00:00,calls,work,,
,msemchuk,2025-10-26T08:00:00,2025-10-26T13:00:00,calls,work,,
,msemchuk,2025-10-27T15:00:00,2025-10-28T00:00:00,calls,work,,
,msemchuk,2025-10-28T15:00:00,2025-10-29T00:00:00,calls,work,,
,msemchuk,2025-10-31T19:00:00,2025-10-31T22:00:00,calls,work,,
,msmereka,2025-10-02T16:00:00,2025-10-03T01:00:00,calls,work,,
,msmereka,2025-10-03T16:00:00,2025-10-04T01:00:00,calls,work,,
,msmereka,2025-10-04T16:00:00,2025-10-05T01:00:00,calls,work,,
,msmereka,2025-10-05T22:00:00,2025-10-06T07:00:00,calls,work,,
,msmereka,2025-10-07T16:00:00,2025-10-08T01:00:00,calls,work,,
,msmereka,2025-10-08T16:00:00,2025-10-09T01:00:00,calls,work,,
,msmereka,2025-10-09T22:00:00,2025-10-10T07:00:00,calls,work,,
,msmereka,2025-10-12T09:00:00,2025-10-12T18:00:00,calls,work,,
,msmereka,2025-10-13T16:00:00,2025-10-14T01:00:00,calls,work,,
,msmereka,2025-10-14T16:00:00,2025-10-15T01:00:00,calls,work,,
,msmereka,2025-10-15T16:00:00,2025-10-16T01:00:00,calls,work,,
,msmereka,2025-10-17T22:00:00,2025-10-18T07:00:00,calls,work,,
,msmereka,2025-10-20T07:00:00,2025-10-20T16:00:00,calls,work,,
,msmereka,2025-10-21T07:00:00,2025-10-21T16:00:00,calls,work,,
,msmereka,2025-10-22T07:00:00,2025-10-22T16:00:00,calls,work,,
,msmereka,2025-10-23T07:00:00,2025-10-23T16:00:00,calls,work,,
,msmereka,2025-10-24T05:00:00,2025-10-24T14:00:00,calls,work,,
,msmereka,2025-10-25T08:00:00,2025-10-25T12:15:00,calls,work,,
,msmereka,2025-10-26T07:00:00,2025-10-26T16:00:00,calls,work,,
,msmereka,2025-10-27T05:00:00,2025-10-27T14:00:00,calls,work,,
,msmereka,2025-10-28T07:00:00,2025-10-28T16:00:00,calls,work,,
,msmereka,2025-10-29T07:00:00,2025-10-29T16:00:00,calls,work,,
,msmereka,2025-10-30T07:00:00,2025-10-30T16:00:00,calls,work,,
,msmereka,2025-10-31T16:00:00,2025-11-01T01:00:00,calls,work,,
,nusatiuk,2025-10-01T00:00:00,2025-10-02T00:00:00,calls,vacation,,
,nusatiuk,2025-10-03T13:00:00,2025-10-03T22:00:00,calls,work,,
,nusatiuk,2025-10-04T00:00:00,2025-10-05T00:00:00,calls,vacation,,
,nusatiuk,2025-10-05T00:00:00,2025-10-06T00:00:00,calls,vacation,,
,nusatiuk,2025-10-06T07:00:00,2025-10-06T16:00:00,calls,work,,
,nusatiuk,2025-10-08T13:00:00,2025-10-08T22:00:00,calls,work,,
,nusatiuk,2025-10-09T12:00:00,2025-10-09T21:00:00,calls,work,,
,nusatiuk,2025-10-10T15:00:00,2025-10-11T00:00:00,calls,work,,
,nusatiuk,2025-10-11T22:00:00,2025-10-12T07:00:00,calls,work,,
,nusatiuk,2025-10-13T09:00:00,2025-10-13T18:00:00,calls,work,,
,nusatiuk,2025-10-15T09:00:00,2025-10-15T18:00:00,calls,work,,
,nusatiuk,2025-10-16T14:00:00,2025-10-16T23:00:00,calls,work,,
,nusatiuk,2025-10-17T14:00:00,2025-10-17T23:00:00,calls,work,,
,nusatiuk,2025-10-18T15:00:00,2025-10-19T00:00:00,calls,work,,
,nusatiuk,2025-10-20T15:00:00,2025-10-21T00:00:00,calls,work,,
,nusatiuk,2025-10-21T15:00:00,2025-10-22T00:00:00,calls,work,,
,nusatiuk,2025-10-24T06:00:00,2025-10-24T15:00:00,calls,work,,
,nusatiuk,2025-10-25T06:00:00,2025-10-25T15:00:00,calls,work,,
,nusatiuk,2025-10-26T15:00:00,2025-10-27T00:00:00,calls,work,,
,nusatiuk,2025-10-27T15:00:00,2025-10-28T00:00:00,calls,work,,
,nusatiuk,2025-10-30T16:00:00,2025-10-31T01:00:00,calls,work,,
,nusatiuk,2025-10-31T13:00:00,2025-10-31T22:00:00,calls,work,,
,rbiesiedin,2025-10-01T00:00:00,2025-10-02T00:00:00,calls,sick,,
,rbiesiedin,2025-10-02T00:00:00,2025-10-03T00:00:00,calls,sick,,
,rbiesiedin,2025-10-04T15:00:00,2025-10-05T00:00:00,calls,work,,
,rbiesiedin,2025-10-05T14:00:00,2025-10-05T23:00:00,calls,work,,
,rbiesiedin,2025-10-06T13:00:00,2025-10-06T22:00:00,calls,work,,
,rbiesiedin,2025-10-07T12:00:00,2025-10-07T21:00:00,calls,work,,
,rbiesiedin,2025-10-11T15:00:00,2025-10-12T00:00:00,calls,work,,
,rbiesiedin,2025-10-12T16:00:00,2025-10-13T01:00:00,calls,work,,
,rbiesiedin,2025-10-14T14:00:00,2025-10-14T23:00:00,calls,work,,
,rbiesiedin,2025-10-15T05:00:00,2025-10-15T14:00:00,calls,work,,
,rbiesiedin,2025-10-17T06:00:00,2025-10-17T15:00:00,calls,work,,
,rbiesiedin,2025-10-18T14:00:00,2025-10-18T23:00:00,calls,work,,
,rbiesiedin,2025-10-19T14:00:00,2025-10-19T23:00:00,calls,work,,
,rbiesiedin,2025-10-21T05:00:00,2025-10-21T14:00:00,calls,work,,
,rbiesiedin,2025-10-22T09:00:00,2025-10-22T18:00:00,calls,work,,
,rbiesiedin,2025-10-24T15:00:00,2025-10-25T00:00:00,calls,work,,
,rbiesiedin,2025-10-25T13:00:00,2025-10-25T22:00:00,calls,work,,
,rbiesiedin,2025-10-26T16:00:00,2025-10-27T01:00:00,calls,work,,
,rbiesiedin,2025-10-27T09:00:00,2025-10-27T18:00:00,calls,work,,
,rbiesiedin,2025-10-28T16:00:00,2025-10-29T01:00:00,calls,work,,
,rbiesiedin,2025-10-29T13:00:00,2025-10-29T22:00:00,calls,work,,
,rbiesiedin,2025-10-30T14:00:00,2025-10-30T23:00:00,calls,work,,
,rbiesiedin,2025-10-31T15:00:00,2025-11-01T00:00:00,calls,work,,
,dshevchenko,2025-10-01T14:00:00,2025-10-01T23:00:00,calls,work,,
,dshevchenko,2025-10-02T09:00:00,2025-10-02T18:00:00,calls,work,,
,dshevchenko,2025-10-04T06:00:00,2025-10-04T15:00:00,calls,work,,
,dshevchenko,2025-10-05T05:00:00,2025-10-05T14:00:00,calls,work,,
,dshevchenko,2025-10-06T09:00:00,2025-10-06T18:00:00,calls,work,,
,dshevchenko,2025-10-07T09:00:00,2025-10-07T18:00:00,calls,work,,
,dshevchenko,2025-10-10T09:00:00,2025-10-10T18:00:00,calls,work,,
,dshevchenko,2025-10-11T00:00:00,2025-10-12T00:00:00,calls,vacation,,
,dshevchenko,2025-10-12T07:00:00,2025-10-12T16:00:00,calls,work,,
,dshevchenko,2025-10-14T14:00:00,2025-10-14T23:00:00,calls,work,,
,dshevchenko,2025-10-15T14:00:00,2025-10-15T23:00:00,calls,work,,
,dshevchenko,2025-10-16T06:00:00,2025-10-16T15:00:00,calls,work,,
,dshevchenko,2025-10-18T14:00:00,2025-10-18T23:00:00,calls,work,,
,dshevchenko,2025-10-19T14:00:00,2025-10-19T23:00:00,calls,work,,
